activity_comment,assay_chembl_id,assay_description,assay_type,canonical_smiles,data_validity_comment,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,undefined_stereo,canonical_smiles_clean
,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CC(C)CCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,,CHEMBL1145112,CHEMBL132806,7.24,=,=,Ki,nM,57.0,Ki,nM,57.0,False,CC(C)CCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1
,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CC(C)CCn1cc2c(nc(NC(=O)Cc3cccc4ccccc34)n3nc(-c4ccco4)nc23)n1,,CHEMBL1145112,CHEMBL336217,7.38,=,=,Ki,nM,42.0,Ki,nM,42.0,False,CC(C)CCn1cc2c(nc(NC(=O)Cc3cccc4ccccc34)n3nc(-c4ccco4)nc23)n1
,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,O=C(Cc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,,CHEMBL1145112,CHEMBL134566,7.22,=,=,Ki,nM,60.0,Ki,nM,60.0,False,O=C(Cc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12
,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CC(C)CCn1cc2c(nc(NC(=O)COc3ccccc3)n3nc(-c4ccco4)nc23)n1,,CHEMBL1145112,CHEMBL435022,7.42,=,=,Ki,nM,38.0,Ki,nM,38.0,False,CC(C)CCn1cc2c(nc(NC(=O)COc3ccccc3)n3nc(-c4ccco4)nc23)n1
,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,,CHEMBL1145112,CHEMBL341376,6.37,=,=,Ki,nM,423.0,Ki,nM,423.0,False,Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1
,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,O=C(COc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,,CHEMBL1145112,CHEMBL138593,7.35,=,=,Ki,nM,45.0,Ki,nM,45.0,False,O=C(COc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12
,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,,CHEMBL1145112,CHEMBL324735,6.42,=,=,Ki,nM,381.0,Ki,nM,381.0,False,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1
,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,,CHEMBL1145112,CHEMBL16867,9.51,=,=,Ki,nM,0.31,Ki,nM,0.31,False,Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12
,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,O=C(Cc1cccc2ccccc12)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,,CHEMBL1145112,CHEMBL335950,6.1,=,=,Ki,nM,800.0,Ki,nM,800.0,False,O=C(Cc1cccc2ccccc12)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12
,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,O=C(Cc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,,CHEMBL1145112,CHEMBL541455,7.22,=,=,Ki,nM,60.0,Ki,nM,60.0,False,O=C(Cc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12
